COD_DEPT;COD_SP;LIB_SP
057;003;DAME
057;004;DUFFREBO
057;005;TANGUELAN
058;002;BETTIE
058;003;DIAMARAKRO
059;005;MADINANI
059;010;FENGOLO
059;012;NGOLOBLASSO
060;001;BAKO
060;002;DIOULATIEDOUGOU
060;007;ODIENNE
060;011;TIEME
060;014;BOUGOUSSO
061;008;SAMATIGUILA
061;009;KIMBIRILA-SUD
062;001;DIVO
062;004;HIRE
062;005;CHIEPO
062;006;DIDOKO
062;007;NEBO
062;008;OGOUDOU
062;009;ZEGO
063;003;GUITRY
063;005;YOCOBOUE
063;006;DAIRO-DIDIZO
063;007;LAUZOUA
064;001;LAKOTA
064;002;ZIKISSO
064;003;NIAMBEZARIA
064;004;DJIDJI
064;005;GAGORE
064;006;GOUDOUKO
065;001;BONON
065;002;BOUAFLE
065;003;BEGBESSOU
065;004;NDOUFFOUKANKRO
065;005;TIBEITA
065;006;ZAGUIETA
065;007;PAKOUABO
066;001;SINFRA
066;002;BAZRE
066;003;KONONFLA
066;004;KOUETINFLA
067;001;GOHITAFLA
067;002;ZUENOULA
067;003;IRIEFLA
067;004;KANZRA
067;005;MAMINIGUI
067;006;VOUEBOUFLA
067;007;ZANZRA
068;001;ADZOPE
068;003;AGOU
068;005;ASSIKOI
068;006;BECEDI-BRIGNAN
068;007;ANNEPE
068;008;YAKASSE-ME
069;002;AFFERY
069;004;AKOUPE
069;005;BECOUEFIN
070;001;ALEPE
070;002;OGHLWAPO
070;003;ABOISSO-COMOE
070;004;ALLOSSO
070;005;DANGUIRA
071;007;YAKASSE-ATTOBROU
071;008;ABONGOUA
071;009;BIEBY
072;001;GUEYO
072;002;DABOUYO
073;002;GRAND-ZATTRY
073;004;SOUBRE
073;005;OKROUYO
073;008;LILIYO
073;009;MAYO
074;002;ARRAH
074;003;KOTOBI
074;004;KREGBE
075;001;BOCANDA
075;003;BENGASSOU
075;004;KOUADIOBLEKRO
075;005;NZECREZESSOU
076;003;BONGOUANOU
076;004;ANDE
076;005;ASSIE-KOUMASSI
076;006;NGUESSANKRO
077;001;DIMBOKRO
077;002;ABIGUI
077;003;DIANGOKRO
077;004;NOFOU
078;001;ANOUMABA
078;004;MBATTO
078;005;TIEMELEKRO
078;006;ASSAHARA
079;001;DIKODOUGOU
079;002;GUIEMBE
079;003;BORON
080;003;KARAKORO
080;004;KOMBORODOUGOU
080;005;KORHOGO
080;007;NAPIELEDOUGOU
080;008;NIOFOIN
080;010;SIRASSO
080;011;TIORONIARADOUGOU
080;013;DASSOUNGBOHO
080;014;KANOROBA
080;017;KIEMOU
080;018;KOMBOLOKOURA
080;019;KONI
080;020;LATAHA
080;021;NAFOUN
080;022;SOHOUO
080;023;NGANON
081;009;SINEMATIALI
081;010;KAGBOLODOUGOU
081;011;SIDIOGO
081;017;BAHOUAKAHA
082;001;GRAND-BEREBY
082;002;SAN-PEDRO
082;003;DOBA
082;004;DOGBO
082;005;GABIADJI
083;001;GRABO
083;002;TABOU
083;003;DAPO-IBOKE
083;004;DJAMANDIOKE
083;005;DJOUROUTOU
083;006;OLODIO
084;001;ABOISSO
084;002;AYAME
084;003;BIANOUAN
084;004;MAFERE
084;005;ADAOU
084;006;ADJOUAN
084;007;KOUAKRO
084;008;YAOU
085;001;ADIAKE
085;002;ASSINIE-MAFIA
085;003;ETUEBOUE
086;001;BONOUA
086;002;GRAND-BASSAM
086;003;BONGO
087;004;TIAPOUM
087;005;NOE
087;006;NOUAMOU
088;002;FERKESSEDOUGOU
088;004;KOUMBALA
088;007;TOGONIERE
089;001;DIAWALA
089;005;NIELLE
089;006;OUANGOLODOUGOU
089;007;KAOUARA
089;008;TOUMOUKORO
090;001;BIANKOUMA
090;002;GBONNE
090;004;BLAPLEU
090;005;GBANGBEGOUINE
090;006;GOUINE
090;007;KPATA
090;008;SANTA
091;002;DANANE
091;003;MAHAPLEU
091;004;DALEU
091;005;GBON-HOUYE
091;006;KOUAN-HOULE
091;007;SEILEU
091;008;ZONNEU
092;003;LOGOUALE
092;004;MAN
092;006;SANGOUINE
092;007;BOGOUINE
092;008;FAGNAMPLEU
092;009;GBANGBEGOUINE-YATI
092;010;PODIAGOUINE
092;011;SANDOUGOU-SOBA
092;012;YAPLEU
092;013;ZAGOUE
092;014;ZIOGOUINE
093;001;BIN-HOUYE
093;004;ZOUAN-HOUNIEN
093;005;BANNEU
093;006;GOULALEU
093;007;TEAPLEU
093;008;YELLEU
094;001;DJIBROSSO
094;003;KANI
094;005;MORONDO
094;006;FADIADOUGOU
095;002;DUALLA
095;004;MASSALA
095;006;SEGUELA
095;007;SIFIE
095;008;WOROFLA
095;009;BOBI
095;010;KAMALO
095;011;DIARABANA
096;002;DJEKANOU
097;003;KONG
097;005;BILIMONO
097;006;SIKOLO
097;007;NAFANA
098;002;KOUASSI-KOUASSIKRO
098;003;MEKRO
099;003;MEAGUI
099;007;GNAMANGUI
099;009;OUPOYO
100;001;BUYO
100;006;DAPEOUA
101;006;MBENGUE
101;012;BOUGOU
101;015;KATIALI
101;016;KATOGO
102;001;FACOBLY
102;007;SEMIEN
102;009;GUEZON
102;010;KOUA
102;012;TIENY-SEABLY
103;001;DIANRA
103;009;DIANRA-VILLAGE
104;001;TAABO
104;002;PACOBO
105;010;SEYDOUGOU
105;013;GBELEBAN
105;016;SAMANGO
106;009;SEGUELON
106;011;GBONGAHA
107;003;SIPILOU
107;009;YORODOUGOU
108;001;TAI
108;002;ZAGNE
999;001;AFRIQUE
999;002;AMERIQUE
999;003;EUROPE
